# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ff03,c,TRP,CG,-0.1463440
amber-ff03,c,TRP,CD1,-0.1680760
amber-ff03,c,TRP,HD1,0.1786860
amber-ff03,c,TRP,NE1,-0.3019700
amber-ff03,c,TRP,HE1,0.3440320
amber-ff03,c,TRP,CE2,0.1434470
amber-ff03,c,TRP,CD2,0.1020280
amber-ff03,c,TRP,CE3,-0.1878470
amber-ff03,c,TRP,HE3,0.1430530
amber-ff03,c,TRP,CZ2,-0.2231940
amber-ff03,c,TRP,HZ2,0.1367240
amber-ff03,c,TRP,CZ3,-0.1732230
amber-ff03,c,TRP,HZ3,0.1216340
amber-ff03,c,TRP,CH2,-0.1376730
amber-ff03,c,TRP,HH2,0.1224740
amber-ff03,c,TRP,C,0.6155690
amber-ff03,c,TRP,O,-0.7227850
amber-ff03,c,TRP,OXT,-0.7227850

# TRP - n-terminal deprotonated
amber-ff03,n-,TRP,N,-1.1646530
amber-ff03,n-,TRP,H1,0.4573260
amber-ff03,n-,TRP,H2,0.4573260
amber-ff03,n-,TRP,CA,0.1179190
amber-ff03,n-,TRP,HA,0.0732470
amber-ff03,n-,TRP,CB,-0.0532190
amber-ff03,n-,TRP,HB2,0.0552730
amber-ff03,n-,TRP,HB3,0.0552730
amber-ff03,n-,TRP,CG,-0.1440900
amber-ff03,n-,TRP,CD1,-0.1721040
amber-ff03,n-,TRP,HD1,0.1795000
amber-ff03,n-,TRP,NE1,-0.3000890
amber-ff03,n-,TRP,HE1,0.3435460
amber-ff03,n-,TRP,CE2,0.1452330
amber-ff03,n-,TRP,CD2,0.0838290
amber-ff03,n-,TRP,CE3,-0.1702850
amber-ff03,n-,TRP,HE3,0.1359630
amber-ff03,n-,TRP,CZ2,-0.2209330
amber-ff03,n-,TRP,HZ2,0.1359700
amber-ff03,n-,TRP,CZ3,-0.1773710
amber-ff03,n-,TRP,HZ3,0.1223460
amber-ff03,n-,TRP,CH2,-0.1390290
amber-ff03,n-,TRP,HH2,0.1231180
amber-ff03,n-,TRP,C,0.6264600
amber-ff03,n-,TRP,O,-0.5705570

# TRP - c-terminal protonated
amber-ff03,c+,TRP,N,-0.6299740
amber-ff03,c+,TRP,H,0.3412280
amber-ff03,c+,TRP,CA,-0.0442500
amber-ff03,c+,TRP,HA,0.1284360
amber-ff03,c+,TRP,CB,-0.0583720
amber-ff03,c+,TRP,HB2,0.0695900
amber-ff03,c+,TRP,HB3,0.0695900
amber-ff03,c+,TRP,CG,-0.1463440
amber-ff03,c+,TRP,CD1,-0.1680760
amber-ff03,c+,TRP,HD1,0.1786860
amber-ff03,c+,TRP,NE1,-0.3019700
amber-ff03,c+,TRP,HE1,0.3440320
amber-ff03,c+,TRP,CE2,0.1434470
amber-ff03,c+,TRP,CD2,0.1020280
amber-ff03,c+,TRP,CE3,-0.1878470
amber-ff03,c+,TRP,HE3,0.1430530
amber-ff03,c+,TRP,CZ2,-0.2231940
amber-ff03,c+,TRP,HZ2,0.1367240
amber-ff03,c+,TRP,CZ3,-0.1732230
amber-ff03,c+,TRP,HZ3,0.1216340
amber-ff03,c+,TRP,CH2,-0.1376730
amber-ff03,c+,TRP,HH2,0.1224740
amber-ff03,c+,TRP,C,0.6155690
amber-ff03,c+,TRP,O,-0.4466160
amber-ff03,c+,TRP,OXT,-0.4466160
amber-ff03,c+,TRP,HOXT,0.4476610

# TYR - middle
amber-ff03,m,TYR,N,-0.4875600
amber-ff03,m,TYR,H,0.2635210
amber-ff03,m,TYR,CA,0.0096140
amber-ff03,m,TYR,HA,0.0955010
amber-ff03,m,TYR,CB,-0.0518530
amber-ff03,m,TYR,HB2,0.0191450
amber-ff03,m,TYR,HB3,0.0191450
amber-ff03,m,TYR,CG,0.1126010
amber-ff03,m,TYR,CD1,-0.1834610
amber-ff03,m,TYR,HD1,0.1327150
amber-ff03,m,TYR,CE1,-0.1818230
amber-ff03,m,TYR,HE1,0.1373030
amber-ff03,m,TYR,CD2,-0.1834610
amber-ff03,m,TYR,HD2,0.1327150
amber-ff03,m,TYR,CE2,-0.1818230
amber-ff03,m,TYR,HE2,0.1373030
amber-ff03,m,TYR,CZ,0.2062770
amber-ff03,m,TYR,OH,-0.4212330
amber-ff03,m,TYR,HH,0.3296910
amber-ff03,m,TYR,C,0.6222900
amber-ff03,m,TYR,O,-0.5266070

# TYR - n-terminal
amber-ff03,n,TYR,N,-0.5928490
amber-ff03,n,TYR,H1,0.4476160
amber-ff03,n,TYR,H2,0.4476160
amber-ff03,n,TYR,H3,0.4476160
amber-ff03,n,TYR,CA,0.0906520
amber-ff03,n,TYR,HA,0.1132650
amber-ff03,n,TYR,CB,-0.0507050
amber-ff03,n,TYR,HB2,0.0064410
amber-ff03,n,TYR,HB3,0.0064410
amber-ff03,n,TYR,CG,0.1309090
amber-ff03,n,TYR,CD1,-0.1982820
amber-ff03,n,TYR,HD1,0.1482460
amber-ff03,n,TYR,CE1,-0.2138630
amber-ff03,n,TYR,HE1,0.1480900
amber-ff03,n,TYR,CD2,-0.1982820
amber-ff03,n,TYR,HD2,0.1482460
amber-ff03,n,TYR,CE2,-0.2138630
amber-ff03,n,TYR,HE2,0.1480900
amber-ff03,n,TYR,CZ,0.2426290
amber-ff03,n,TYR,OH,-0.4753870
amber-ff03,n,TYR,HH,0.3707820
amber-ff03,n,TYR,C,0.6208930
amber-ff03,n,TYR,O,-0.5743010

# TYR - c-terminal
amber-ff03,c,TYR,N,-0.6756280
amber-ff03,c,TYR,H,0.3504480
amber-ff03,c,TYR,CA,-0.0127280
amber-ff03,c,TYR,HA,0.1468710
amber-ff03,c,TYR,CB,-0.0580780
amber-ff03,c,TYR,HB2,0.0166190
amber-ff03,c,TYR,HB3,0.0166190
amber-ff03,c,TYR,CG,0.1330180
amber-ff03,c,TYR,CD1,-0.1946750
amber-ff03,c,TYR,HD1,0.1499170
amber-ff03,c,TYR,CE1,-0.2188200
amber-ff03,c,TYR,HE1,0.1486920
amber-ff03,c,TYR,CD2,-0.1946750
amber-ff03,c,TYR,HD2,0.1499170
amber-ff03,c,TYR,CE2,-0.2188200
amber-ff03,c,TYR,HE2,0.1486920
amber-ff03,c,TYR,CZ,0.2477340
amber-ff03,c,TYR,OH,-0.4751200
amber-ff03,c,TYR,HH,0.3700160
amber-ff03,c,TYR,C,0.6655550
amber-ff03,c,TYR,O,-0.7477780
amber-ff03,c,TYR,OXT,-0.7477780

# TYR - n-terminal deprotonated
amber-ff03,n-,TYR,N,-1.1452330
amber-ff03,n-,TYR,H1,0.4476160
amber-ff03,n-,TYR,H2,0.4476160
amber-ff03,n-,TYR,CA,0.0906520
amber-ff03,n-,TYR,HA,0.1132650
amber-ff03,n-,TYR,CB,-0.0507050
amber-ff03,n-,TYR,HB2,0.0064410
amber-ff03,n-,TYR,HB3,0.0064410
amber-ff03,n-,TYR,CG,0.1309090
amber-ff03,n-,TYR,CD1,-0.1982820
amber-ff03,n-,TYR,HD1,0.1482460
amber-ff03,n-,TYR,CE1,-0.2138630
amber-ff03,n-,TYR,HE1,0.1480900
amber-ff03,n-,TYR,CD2,-0.1982820
amber-ff03,n-,TYR,HD2,0.1482460
amber-ff03,n-,TYR,CE2,-0.2138630
amber-ff03,n-,TYR,HE2,0.1480900
amber-ff03,n-,TYR,CZ,0.2426290
amber-ff03,n-,TYR,OH,-0.4753870
amber-ff03,n-,TYR,HH,0.3707820
amber-ff03,n-,TYR,C,0.6208930
amber-ff03,n-,TYR,O,-0.5743010

# TYR - c-terminal protonated
amber-ff03,c+,TYR,N,-0.6756280
amber-ff03,c+,TYR,H,0.3504480
amber-ff03,c+,TYR,CA,-0.0127280
amber-ff03,c+,TYR,HA,0.1468710
amber-ff03,c+,TYR,CB,-0.0580780
amber-ff03,c+,TYR,HB2,0.0166190
amber-ff03,c+,TYR,HB3,0.0166190
amber-ff03,c+,TYR,CG,0.1330180
amber-ff03,c+,TYR,CD1,-0.1946750
amber-ff03,c+,TYR,HD1,0.1499170
amber-ff03,c+,TYR,CE1,-0.2188200
amber-ff03,c+,TYR,HE1,0.1486920
amber-ff03,c+,TYR,CD2,-0.1946750
amber-ff03,c+,TYR,HD2,0.1499170
amber-ff03,c+,TYR,CE2,-0.2188200
amber-ff03,c+,TYR,HE2,0.1486920
amber-ff03,c+,TYR,CZ,0.2477340
amber-ff03,c+,TYR,OH,-0.4751200
amber-ff03,c+,TYR,HH,0.3700160
amber-ff03,c+,TYR,C,0.6655550
amber-ff03,c+,TYR,O,-0.4716090
amber-ff03,c+,TYR,OXT,-0.4716090
amber-ff03,c+,TYR,HOXT,0.4476610

# TYM - middle
amber-ff03,m,TYM,N,-0.4875600
amber-ff03,m,TYM,H,0.2635210
amber-ff03,m,TYM,CA,0.0096140
amber-ff03,m,TYM,HA,0.0955010
amber-ff03,m,TYM,CB,-0.0518530
amber-ff03,m,TYM,HB2,0.0191450
amber-ff03,m,TYM,HB3,0.0191450
amber-ff03,m,TYM,CG,0.0568170
amber-ff03,m,TYM,CD1,-0.2117990
amber-ff03,m,TYM,HD1,0.1327150
amber-ff03,m,TYM,CE1,-0.2376070
amber-ff03,m,TYM,HE1,0.1373030
amber-ff03,m,TYM,CD2,-0.2117990
amber-ff03,m,TYM,HD2,0.1327150
amber-ff03,m,TYM,CE2,-0.2376070
amber-ff03,m,TYM,HE2,0.1373030
amber-ff03,m,TYM,CZ,0.2062770
amber-ff03,m,TYM,OH,-0.8675110
amber-ff03,m,TYM,C,0.6222900
amber-ff03,m,TYM,O,-0.5266070

# TYM - n-terminal
amber-ff03,n,TYM,N,-0.5928490
amber-ff03,n,TYM,H1,0.4476160
amber-ff03,n,TYM,H2,0.4476160
amber-ff03,n,TYM,H3,0.4476160
amber-ff03,n,TYM,CA,0.0906520
amber-ff03,n,TYM,HA,0.1132650
amber-ff03,n,TYM,CB,-0.0507050
amber-ff03,n,TYM,HB2,0.0064410
amber-ff03,n,TYM,HB3,0.0064410
amber-ff03,n,TYM,CG,0.0751250
amber-ff03,n,TYM,CD1,-0.2266200
amber-ff03,n,TYM,HD1,0.1482460
amber-ff03,n,TYM,CE1,-0.2696470
amber-ff03,n,TYM,HE1,0.1480900
amber-ff03,n,TYM,CD2,-0.2266200
amber-ff03,n,TYM,HD2,0.1482460
amber-ff03,n,TYM,CE2,-0.2696470
amber-ff03,n,TYM,HE2,0.1480900
amber-ff03,n,TYM,CZ,0.2426290
amber-ff03,n,TYM,OH,-0.9216650
amber-ff03,n,TYM,C,0.6208930
amber-ff03,n,TYM,O,-0.5743010

# TYM - c-terminal
amber-ff03,c,TYM,N,-0.6756280
amber-ff03,c,TYM,H,0.3504480
amber-ff03,c,TYM,CA,-0.0127280
amber-ff03,c,TYM,HA,0.1468710
amber-ff03,c,TYM,CB,-0.0580780
amber-ff03,c,TYM,HB2,0.0166190
amber-ff03,c,TYM,HB3,0.0166190
amber-ff03,c,TYM,CG,0.0772340
amber-ff03,c,TYM,CD1,-0.2230130
amber-ff03,c,TYM,HD1,0.1499170
amber-ff03,c,TYM,CE1,-0.2746040
amber-ff03,c,TYM,HE1,0.1486920
amber-ff03,c,TYM,CD2,-0.2230130
amber-ff03,c,TYM,HD2,0.1499170
amber-ff03,c,TYM,CE2,-0.2746040
amber-ff03,c,TYM,HE2,0.1486920
amber-ff03,c,TYM,CZ,0.2477340
amber-ff03,c,TYM,OH,-0.9213980
amber-ff03,c,TYM,C,0.6655550
amber-ff03,c,TYM,O,-0.7477780
amber-ff03,c,TYM,OXT,-0.7477780

# TYM - n-terminal deprotonated
amber-ff03,n-,TYM,N,-1.1452330
amber-ff03,n-,TYM,H1,0.4476160
amber-ff03,n-,TYM,H2,0.4476160
amber-ff03,n-,TYM,CA,0.0906520
amber-ff03,n-,TYM,HA,0.1132650
amber-ff03,n-,TYM,CB,-0.0507050
amber-ff03,n-,TYM,HB2,0.0064410
amber-ff03,n-,TYM,HB3,0.0064410
amber-ff03,n-,TYM,CG,0.0751250
amber-ff03,n-,TYM,CD1,-0.2266200
amber-ff03,n-,TYM,HD1,0.1482460
amber-ff03,n-,TYM,CE1,-0.2696470
amber-ff03,n-,TYM,HE1,0.1480900
amber-ff03,n-,TYM,CD2,-0.2266200
amber-ff03,n-,TYM,HD2,0.1482460
amber-ff03,n-,TYM,CE2,-0.2696470
amber-ff03,n-,TYM,HE2,0.1480900
amber-ff03,n-,TYM,CZ,0.2426290
amber-ff03,n-,TYM,OH,-0.9216650
amber-ff03,n-,TYM,C,0.6208930
amber-ff03,n-,TYM,O,-0.5743010

# TYM - c-terminal protonated
amber-ff03,c+,TYM,N,-0.6756280
amber-ff03,c+,TYM,H,0.3504480
amber-ff03,c+,TYM,CA,-0.0127280
amber-ff03,c+,TYM,HA,0.1468710
amber-ff03,c+,TYM,CB,-0.0580780
amber-ff03,c+,TYM,HB2,0.0166190
amber-ff03,c+,TYM,HB3,0.0166190
amber-ff03,c+,TYM,CG,0.0772340
amber-ff03,c+,TYM,CD1,-0.2230130
amber-ff03,c+,TYM,HD1,0.1499170
amber-ff03,c+,TYM,CE1,-0.2746040
amber-ff03,c+,TYM,HE1,0.1486920
amber-ff03,c+,TYM,CD2,-0.2230130
amber-ff03,c+,TYM,HD2,0.1499170
amber-ff03,c+,TYM,CE2,-0.2746040
amber-ff03,c+,TYM,HE2,0.1486920
amber-ff03,c+,TYM,CZ,0.2477340
amber-ff03,c+,TYM,OH,-0.9213980
amber-ff03,c+,TYM,C,0.6655550
amber-ff03,c+,TYM,O,-0.4716090
amber-ff03,c+,TYM,OXT,-0.4716090
amber-ff03,c+,TYM,HOXT,0.4476610

# VAL - middle
amber-ff03,m,VAL,N,-0.4500870
amber-ff03,m,VAL,H,0.4400480
amber-ff03,m,VAL,CA,-0.0518580
amber-ff03,m,VAL,HA,-0.0262040
amber-ff03,m,VAL,CB,0.3952170
amber-ff03,m,VAL,HB,-0.1156720
amber-ff03,m,VAL,CG1,-0.0901320
amber-ff03,m,VAL,HG11,-0.0089850
amber-ff03,m,VAL,HG12,-0.0089850
amber-ff03,m,VAL,HG13,-0.0089850
amber-ff03,m,VAL,CG2,-0.0901320
amber-ff03,m,VAL,HG21,-0.0089850
amber-ff03,m,VAL,HG22,-0.0089850
amber-ff03,m,VAL,HG23,-0.0089850
amber-ff03,m,VAL,C,0.4473590
amber-ff03,m,VAL,O,-0.4046290

# VAL - n-terminal
amber-ff03,n,VAL,N,-0.7374500
amber-ff03,n,VAL,H1,0.4958170
amber-ff03,n,VAL,H2,0.4958170
amber-ff03,n,VAL,H3,0.4958170
amber-ff03,n,VAL,CA,-0.0828370
amber-ff03,n,VAL,HA,0.0170070
amber-ff03,n,VAL,CB,0.2408870
amber-ff03,n,VAL,HB,-0.0346740
amber-ff03,n,VAL,CG1,-0.2091300
amber-ff03,n,VAL,HG11,0.0431240
amber-ff03,n,VAL,HG12,0.0431240
amber-ff03,n,VAL,HG13,0.0431240
amber-ff03,n,VAL,CG2,-0.2091300
amber-ff03,n,VAL,HG21,0.0431240
amber-ff03,n,VAL,HG22,0.0431240
amber-ff03,n,VAL,HG23,0.0431240
amber-ff03,n,VAL,C,0.8906410
amber-ff03,n,VAL,O,-0.6215110

# VAL - c-terminal
amber-ff03,c,VAL,N,-0.2170540
amber-ff03,c,VAL,H,0.2431220
amber-ff03,c,VAL,CA,-0.3741200
amber-ff03,c,VAL,HA,0.0977200
amber-ff03,c,VAL,CB,0.2023090
amber-ff03,c,VAL,HB,-0.0229530
amber-ff03,c,VAL,CG1,-0.1377960
amber-ff03,c,VAL,HG11,0.0294280
amber-ff03,c,VAL,HG12,0.0294280
amber-ff03,c,VAL,HG13,0.0294280
amber-ff03,c,VAL,CG2,-0.1377960
amber-ff03,c,VAL,HG21,0.0294280
amber-ff03,c,VAL,HG22,0.0294280
amber-ff03,c,VAL,HG23,0.0294280
amber-ff03,c,VAL,C,0.5256160
amber-ff03,c,VAL,O,-0.6778080
amber-ff03,c,VAL,OXT,-0.6778080

# VAL - n-terminal deprotonated
amber-ff03,n-,VAL,N,-1.2416330
amber-ff03,n-,VAL,H1,0.4958170
amber-ff03,n-,VAL,H2,0.4958170
amber-ff03,n-,VAL,CA,-0.0828370
amber-ff03,n-,VAL,HA,0.0170070
amber-ff03,n-,VAL,CB,0.2408870
amber-ff03,n-,VAL,HB,-0.0346740
amber-ff03,n-,VAL,CG1,-0.2091300
amber-ff03,n-,VAL,HG11,0.0431240
amber-ff03,n-,VAL,HG12,0.0431240
amber-ff03,n-,VAL,HG13,0.0431240
amber-ff03,n-,VAL,CG2,-0.2091300
amber-ff03,n-,VAL,HG21,0.0431240
amber-ff03,n-,VAL,HG22,0.0431240
amber-ff03,n-,VAL,HG23,0.0431240
amber-ff03,n-,VAL,C,0.8906410
amber-ff03,n-,VAL,O,-0.6215110

# VAL - c-terminal protonated
amber-ff03,c+,VAL,N,-0.2170540
amber-ff03,c+,VAL,H,0.2431220
amber-ff03,c+,VAL,CA,-0.3741200
amber-ff03,c+,VAL,HA,0.0977200
amber-ff03,c+,VAL,CB,0.2023090
amber-ff03,c+,VAL,HB,-0.0229530
amber-ff03,c+,VAL,CG1,-0.1377960
amber-ff03,c+,VAL,HG11,0.0294280
amber-ff03,c+,VAL,HG12,0.0294280
amber-ff03,c+,VAL,HG13,0.0294280
amber-ff03,c+,VAL,CG2,-0.1377960
amber-ff03,c+,VAL,HG21,0.0294280
amber-ff03,c+,VAL,HG22,0.0294280
amber-ff03,c+,VAL,HG23,0.0294280
amber-ff03,c+,VAL,C,0.5256160
amber-ff03,c+,VAL,O,-0.4016385
amber-ff03,c+,VAL,OXT,-0.4016385
amber-ff03,c+,VAL,HOXT,0.4476610

# Protein: charmm

# ALA - middle
charmm,m,ALA,N,-0.4700000
charmm,m,ALA,H,0.3100000
charmm,m,ALA,CA,0.0700000
charmm,m,ALA,HA,0.0900000
charmm,m,ALA,CB,-0.2700000
charmm,m,ALA,HB1,0.0900000
charmm,m,ALA,HB2,0.0900000
charmm,m,ALA,HB3,0.0900000
charmm,m,ALA,C,0.5100000
charmm,m,ALA,O,-0.5100000

# ALA - n-terminal
charmm,n,ALA,N,-0.3000000
charmm,n,ALA,H1,0.3300000
charmm,n,ALA,H2,0.3300000
charmm,n,ALA,H3,0.3300000
charmm,n,ALA,CA,0.2100000
charmm,n,ALA,HA,0.1000000
charmm,n,ALA,CB,-0.2700000
charmm,n,ALA,HB1,0.0900000
charmm,n,ALA,HB2,0.0900000
charmm,n,ALA,HB3,0.0900000
charmm,n,ALA,C,0.5100000
charmm,n,ALA,O,-0.5100000

# ALA - c-terminal
charmm,c,ALA,N,-0.4700000
charmm,c,ALA,H,0.3100000
charmm,c,ALA,CA,0.0700000
charmm,c,ALA,HA,0.0900000
charmm,c,ALA,CB,-0.2700000
charmm,c,ALA,HB1,0.0900000
charmm,c,ALA,HB2,0.0900000
charmm,c,ALA,HB3,0.0900000
charmm,c,ALA,C,0.3400000
charmm,c,ALA,O,-0.6700000
charmm,c,ALA,OXT,-0.6700000

# ALA - n-terminal deprotonated
charmm,n-,ALA,N,-0.9600000
charmm,n-,ALA,H1,0.3400000
charmm,n-,ALA,H2,0.3400000
charmm,n-,ALA,CA,0.1900000
charmm,n-,ALA,HA,0.0900000
charmm,n-,ALA,CB,-0.2700000
charmm,n-,ALA,HB1,0.0900000
charmm,n-,ALA,HB2,0.0900000
charmm,n-,ALA,HB3,0.0900000
charmm,n-,ALA,C,0.5100000
charmm,n-,ALA,O,-0.5100000

# ALA - c-terminal protonated
charmm,c+,ALA,N,-0.4700000
charmm,c+,ALA,H,0.3100000
charmm,c+,ALA,CA,0.0700000
charmm,c+,ALA,HA,0.0900000
charmm,c+,ALA,CB,-0.2700000
charmm,c+,ALA,HB1,0.0900000
charmm,c+,ALA,HB2,0.0900000
charmm,c+,ALA,HB3,0.0900000
charmm,c+,ALA,C,0.7200000
charmm,c+,ALA,O,-0.5500000
charmm,c+,ALA,OXT,-0.6100000
charmm,c+,ALA,HOXT,0.4400000

# ARG - middle
charmm,m,ARG,N,-0.4700000
charmm,m,ARG,H,0.3100000
charmm,m,ARG,CA,0.0700000
charmm,m,ARG,HA,0.0900000
charmm,m,ARG,CB,-0.1800000
charmm,m,ARG,HB2,0.0900000
charmm,m,ARG,HB3,0.0900000
charmm,m,ARG,CG,-0.1800000
charmm,m,ARG,HG2,0.0900000
charmm,m,ARG,HG3,0.0900000
charmm,m,ARG,CD,0.2000000
charmm,m,ARG,HD2,0.0900000
charmm,m,ARG,HD3,0.0900000
charmm,m,ARG,NE,-0.7000000
charmm,m,ARG,HE,0.4400000
charmm,m,ARG,CZ,0.6400000
charmm,m,ARG,NH1,-0.8000000
charmm,m,ARG,HH11,0.4600000
charmm,m,ARG,HH12,0.4600000
charmm,m,ARG,NH2,-0.8000000
charmm,m,ARG,HH21,0.4600000
charmm,m,ARG,HH22,0.4600000
charmm,m,ARG,C,0.5100000
charmm,m,ARG,O,-0.5100000

# ARG - n-terminal
charmm,n,ARG,N,-0.3000000
charmm,n,ARG,H1,0.3300000
charmm,n,ARG,H2,0.3300000
charmm,n,ARG,H3,0.3300000
charmm,n,ARG,CA,0.2100000
charmm,n,ARG,HA,0.1000000
charmm,n,ARG,CB,-0.1800000
charmm,n,ARG,HB2,0.0900000
charmm,n,ARG,HB3,0.0900000
charmm,n,ARG,CG,-0.1800000
charmm,n,ARG,HG2,0.0900000
charmm,n,ARG,HG3,0.0900000
charmm,n,ARG,CD,0.2000000
charmm,n,ARG,HD2,0.0900000
charmm,n,ARG,HD3,0.0900000
charmm,n,ARG,NE,-0.7000000
charmm,n,ARG,HE,0.4400000
charmm,n,ARG,CZ,0.6400000
charmm,n,ARG,NH1,-0.8000000
charmm,n,ARG,HH11,0.4600000
charmm,n,ARG,HH12,0.4600000
charmm,n,ARG,NH2,-0.8000000
charmm,n,ARG,HH21,0.4600000
charmm,n,ARG,HH22,0.4600000
charmm,n,ARG,C,0.5100000
charmm,n,ARG,O,-0.5100000

# ARG - c-terminal
charmm,c,ARG,N,-0.4700000
charmm,c,ARG,H,0.3100000
charmm,c,ARG,CA,0.0700000
charmm,c,ARG,HA,0.0900000
charmm,c,ARG,CB,-0.1800000
charmm,c,ARG,HB2,0.0900000
charmm,c,ARG,HB3,0.0900000
charmm,c,ARG,CG,-0.1800000
charmm,c,ARG,HG2,0.0900000
charmm,c,ARG,HG3,0.0900000
charmm,c,ARG,CD,0.2000000
charmm,c,ARG,HD2,0.0900000
charmm,c,ARG,HD3,0.0900000
charmm,c,ARG,NE,-0.7000000
charmm,c,ARG,HE,0.4400000
charmm,c,ARG,CZ,0.6400000
charmm,c,ARG,NH1,-0.8000000
charmm,c,ARG,HH11,0.4600000
charmm,c,ARG,HH12,0.4600000
charmm,c,ARG,NH2,-0.8000000
charmm,c,ARG,HH21,0.4600000
charmm,c,ARG,HH22,0.4600000
charmm,c,ARG,C,0.3400000
charmm,c,ARG,O,-0.6700000
charmm,c,ARG,OXT,-0.6700000

# ARG - n-terminal deprotonated
charmm,n-,ARG,N,-0.9600000
charmm,n-,ARG,H1,0.3400000
charmm,n-,ARG,H2,0.3400000
charmm,n-,ARG,CA,0.1900000
charmm,n-,ARG,HA,0.0900000
charmm,n-,ARG,CB,-0.1800000
charmm,n-,ARG,HB2,0.0900000
charmm,n-,ARG,HB3,0.0900000
charmm,n-,ARG,CG,-0.1800000
charmm,n-,ARG,HG2,0.0900000
charmm,n-,ARG,HG3,0.0900000
charmm,n-,ARG,CD,0.2000000
charmm,n-,ARG,HD2,0.0900000
charmm,n-,ARG,HD3,0.0900000
charmm,n-,ARG,NE,-0.7000000
charmm,n-,ARG,HE,0.4400000
charmm,n-,ARG,CZ,0.6400000
charmm,n-,ARG,NH1,-0.8000000
charmm,n-,ARG,HH11,0.4600000
charmm,n-,ARG,HH12,0.4600000
charmm,n-,ARG,NH2,-0.8000000
charmm,n-,ARG,HH21,0.4600000
charmm,n-,ARG,HH22,0.4600000
charmm,n-,ARG,C,0.5100000
charmm,n-,ARG,O,-0.5100000

# ARG - c-terminal protonated
charmm,c+,ARG,N,-0.4700000
charmm,c+,ARG,H,0.3100000
charmm,c+,ARG,CA,0.0700000
charmm,c+,ARG,HA,0.0900000
charmm,c+,ARG,CB,-0.1800000
charmm,c+,ARG,HB2,0.0900000
charmm,c+,ARG,HB3,0.0900000
charmm,c+,ARG,CG,-0.1800000
charmm,c+,ARG,HG2,0.0900000
charmm,c+,ARG,HG3,0.0900000
charmm,c+,ARG,CD,0.2000000
charmm,c+,ARG,HD2,0.0900000
charmm,c+,ARG,HD3,0.0900000
charmm,c+,ARG,NE,-0.7000000
charmm,c+,ARG,HE,0.4400000
charmm,c+,ARG,CZ,0.6400000
charmm,c+,ARG,NH1,-0.8000000
charmm,c+,ARG,HH11,0.4600000
charmm,c+,ARG,HH12,0.4600000
charmm,c+,ARG,NH2,-0.8000000
charmm,c+,ARG,HH21,0.4600000
charmm,c+,ARG,HH22,0.4600000
charmm,c+,ARG,C,0.7200000
charmm,c+,ARG,O,-0.5500000
charmm,c+,ARG,OXT,-0.6100000
charmm,c+,ARG,HOXT,0.4400000

# ARN - middle
charmm,m,ARN,N,-0.4700000
charmm,m,ARN,H,0.3100000
charmm,m,ARN,CA,0.0700000
charmm,m,ARN,HA,0.0900000
charmm,m,ARN,CB,-0.1800000
charmm,m,ARN,HB2,0.0900000
charmm,m,ARN,HB3,0.0900000
charmm,m,ARN,CG,-0.1800000
charmm,m,ARN,HG2,0.0900000
charmm,m,ARN,HG3,0.0900000
charmm,m,ARN,CD,0.2000000
charmm,m,ARN,HD2,0.0900000
charmm,m,ARN,HD3,0.0900000
charmm,m,ARN,NE,-0.6600000
charmm,m,ARN,HE,0.3600000
charmm,m,ARN,CZ,0.3200000
charmm,m,ARN,NH1,-0.7600000
charmm,m,ARN,HH11,0.3800000
charmm,m,ARN,HH12,0.3800000
charmm,m,ARN,NH2,-0.7500000
charmm,m,ARN,HH21,0.3500000
charmm,m,ARN,C,0.5100000
charmm,m,ARN,O,-0.5100000

# ARN - n-terminal
charmm,n,ARN,N,-0.3000000
charmm,n,ARN,H1,0.3300000
charmm,n,ARN,H2,0.3300000
charmm,n,ARN,H3,0.3300000
charmm,n,ARN,CA,0.2100000
charmm,n,ARN,HA,0.1000000
charmm,n,ARN,CB,-0.1800000
charmm,n,ARN,HB2,0.0900000
charmm,n,ARN,HB3,0.0900000
charmm,n,ARN,CG,-0.1800000
charmm,n,ARN,HG2,0.0900000
charmm,n,ARN,HG3,0.0900000
charmm,n,ARN,CD,0.2000000
charmm,n,ARN,HD2,0.0900000
charmm,n,ARN,HD3,0.0900000
charmm,n,ARN,NE,-0.6600000
charmm,n,ARN,HE,0.3600000
charmm,n,ARN,CZ,0.3200000
charmm,n,ARN,NH1,-0.7600000
charmm,n,ARN,HH11,0.3800000
charmm,n,ARN,HH12,0.3800000
charmm,n,ARN,NH2,-0.7500000
charmm,n,ARN,HH21,0.3500000
charmm,n,ARN,C,0.5100000
charmm,n,ARN,O,-0.5100000

# ARN - c-terminal
charmm,c,ARN,N,-0.4700000
charmm,c,ARN,H,0.3100000
charmm,c,ARN,CA,0.0700000
charmm,c,ARN,HA,0.0900000
