# FFCharge Data File
#
# Format: scheme,position,residue,atom,charge
#
# Position: n (n-terminal), n- (n-terminal deprotonated), c (c-terminal), c+ (c-terminal protonated), 5 (5'), 3 (3'), m (middle), (empty for none - water/ion)
#
# Scheme Keys:
#   Protein: amber-ffsb, amber-ff03, charmm
#   DNA:     amber, charmm
#   RNA:     amber, charmm
#   Water:   tip3p, tip3p-fb, spc, spc-e, opc3
#   Ion:     classic

scheme,position,residue,atom,charge

# Protein: amber-ffsb

# ALA - middle
amber-ffsb,c,ARN,NH1,-0.8000000
amber-ffsb,c,ARN,HH11,0.3800000
amber-ffsb,c,ARN,HH12,0.3800000
amber-ffsb,c,ARN,NH2,-0.7000000
amber-ffsb,c,ARN,HH21,0.3700000
amber-ffsb,c,ARN,C,0.7731000
amber-ffsb,c,ARN,O,-0.8055000
amber-ffsb,c,ARN,OXT,-0.8055000

# ARN - n-terminal deprotonated
amber-ffsb,n-,ARN,N,-0.6589000
amber-ffsb,n-,ARN,H1,0.1997000
amber-ffsb,n-,ARN,H2,0.1997000
amber-ffsb,n-,ARN,CA,0.1054000
amber-ffsb,n-,ARN,HA,0.1100000
amber-ffsb,n-,ARN,CB,-0.0500000
amber-ffsb,n-,ARN,HB2,0.0400000
amber-ffsb,n-,ARN,HB3,0.0400000
amber-ffsb,n-,ARN,CG,0.0500000
amber-ffsb,n-,ARN,HG2,0.0400000
amber-ffsb,n-,ARN,HG3,0.0400000
amber-ffsb,n-,ARN,CD,0.1000000
amber-ffsb,n-,ARN,HD2,0.0500000
amber-ffsb,n-,ARN,HD3,0.0500000
amber-ffsb,n-,ARN,NE,-0.5500000
amber-ffsb,n-,ARN,HE,0.3400000
amber-ffsb,n-,ARN,CZ,0.5500000
amber-ffsb,n-,ARN,NH1,-0.8000000
amber-ffsb,n-,ARN,HH11,0.3800000
amber-ffsb,n-,ARN,HH12,0.3800000
amber-ffsb,n-,ARN,NH2,-0.7000000
amber-ffsb,n-,ARN,HH21,0.3700000
amber-ffsb,n-,ARN,C,0.6163000
amber-ffsb,n-,ARN,O,-0.5722000

# ARN - c-terminal protonated
amber-ffsb,c+,ARN,N,-0.3821000
amber-ffsb,c+,ARN,H,0.2681000
amber-ffsb,c+,ARN,CA,-0.1581000
amber-ffsb,c+,ARN,HA,0.1100000
amber-ffsb,c+,ARN,CB,-0.0500000
amber-ffsb,c+,ARN,HB2,0.0400000
amber-ffsb,c+,ARN,HB3,0.0400000
amber-ffsb,c+,ARN,CG,0.0500000
amber-ffsb,c+,ARN,HG2,0.0400000
amber-ffsb,c+,ARN,HG3,0.0400000
amber-ffsb,c+,ARN,CD,0.1000000
amber-ffsb,c+,ARN,HD2,0.0500000
amber-ffsb,c+,ARN,HD3,0.0500000
amber-ffsb,c+,ARN,NE,-0.5500000
amber-ffsb,c+,ARN,HE,0.3400000
amber-ffsb,c+,ARN,CZ,0.5500000
amber-ffsb,c+,ARN,NH1,-0.8000000
amber-ffsb,c+,ARN,HH11,0.3800000
amber-ffsb,c+,ARN,HH12,0.3800000
amber-ffsb,c+,ARN,NH2,-0.7000000
amber-ffsb,c+,ARN,HH21,0.3700000
amber-ffsb,c+,ARN,C,0.7731000
amber-ffsb,c+,ARN,O,-0.5380000
amber-ffsb,c+,ARN,OXT,-0.5380000
amber-ffsb,c+,ARN,HOXT,0.4650000

# ASN - middle
amber-ffsb,m,ASN,N,-0.4157000
amber-ffsb,m,ASN,H,0.2719000
amber-ffsb,m,ASN,CA,0.0143000
amber-ffsb,m,ASN,HA,0.1048000
amber-ffsb,m,ASN,CB,-0.2041000
amber-ffsb,m,ASN,HB2,0.0797000
amber-ffsb,m,ASN,HB3,0.0797000
amber-ffsb,m,ASN,CG,0.7130000
amber-ffsb,m,ASN,OD1,-0.5931000
amber-ffsb,m,ASN,ND2,-0.9191000
amber-ffsb,m,ASN,HD21,0.4196000
amber-ffsb,m,ASN,HD22,0.4196000
amber-ffsb,m,ASN,C,0.5973000
amber-ffsb,m,ASN,O,-0.5679000

# ASN - n-terminal
amber-ffsb,n,ASN,N,0.1801000
amber-ffsb,n,ASN,H1,0.1921000
amber-ffsb,n,ASN,H2,0.1921000
amber-ffsb,n,ASN,H3,0.1921000
amber-ffsb,n,ASN,CA,0.0368000
amber-ffsb,n,ASN,HA,0.1231000
amber-ffsb,n,ASN,CB,-0.0283000
amber-ffsb,n,ASN,HB2,0.0515000
amber-ffsb,n,ASN,HB3,0.0515000
amber-ffsb,n,ASN,CG,0.5833000
amber-ffsb,n,ASN,OD1,-0.5744000
amber-ffsb,n,ASN,ND2,-0.8634000
amber-ffsb,n,ASN,HD21,0.4097000
